	RT	FREQUENCY	FAMILIARITY
ant	589.4347	1.9459101491	med
apple	523.0493	2.302585093	hi
apricot	642.3342	0.6931471806	lo
asparagus	696.2092	0.6931471806	med
banana	601.8914	1.6094379124	hi
bat	589.6712	2.9444389792	med
beaver	661.5156	1.3862943611	med
bee	567.0827	2.4849066498	hi
bunny	672.3081	0.6931471806	med
butterfly	635.4823	1.0986122887	med
camel	636.0095	0.6931471806	lo
carrot	620.8766	0.6931471806	med
cat	567.6625	3.1780538303	hi
cherry	614.0209	1.9459101491	med
chicken	588.0462	3.6375861597	hi
clove	667.214	0.6931471806	lo
crocodile	699.0151	0.6931471806	lo
cucumber	617.7367	0	med
dog	583.6823	4.3307333403	hi
eagle	596.3469	1.7917594692	lo
elephant	655.216	2.0794415417	lo
fox	614.8879	2.6390573296	med
frog	592.9443	0.6931471806	med
goat	559.7334	1.9459101491	med
grape	568.4144	1.3862943611	med
horse	624.4767	4.7706846245	hi
leek	682.1382	0	lo
lemon	549.3614	2.9444389792	med
lettuce	634.6535	0	hi
lion	588.3237	2.8903717579	med
melon	596.4692	0.6931471806	lo
mole	655.4345	1.6094379124	med
monkey	593.6087	2.302585093	med
moose	620.0387	0	med
mouse	604.3841	2.3978952728	med
mustard	633.95	3.0445224377	med
olive	578.9176	1.7917594692	lo
orange	544.8413	3.1780538303	hi
owl	637.3747	1.0986122887	med
pear	579.4982	1.9459101491	hi
pig	559.0134	2.1972245773	med
pineapple	636.775	2.302585093	med
potato	670.7467	2.7725887222	hi
radish	678.3105	2.1972245773	lo
shark	585.1791	0	med
sheep	556.1345	3.1780538303	med
snake	609.8235	3.8066624898	med
spider	562.3294	1.0986122887	med
squirrel	711.7317	0.6931471806	med
stork	794.4522	0	lo
strawberry	612.796	0	med
tomato	611.024	1.6094379124	hi
tortoise	733.0323	1.3862943611	lo
walnut	663.5908	2.4849066498	med
whale	609.9745	0	med
